Ref,Val,Package,PosX,PosY,Rot,Side
"D20","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",50.000000,-42.500000,0.000000,top
"D21","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",48.500000,-42.500000,0.000000,top
"D22","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",47.000000,-42.500000,0.000000,top
"D23","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",45.500000,-42.500000,0.000000,top
"D24","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",44.000000,-42.500000,0.000000,top
"D25","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",42.500000,-42.500000,0.000000,top
"D26","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",41.000000,-44.000000,180.000000,top
"D27","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",42.500000,-44.000000,180.000000,top
"D28","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",44.000000,-44.000000,180.000000,top
"D29","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",45.500000,-44.000000,180.000000,top
"D30","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",47.000000,-44.000000,180.000000,top
"D31","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",48.500000,-44.000000,180.000000,top
"D32","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",50.000000,-44.000000,180.000000,top
"D33","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",51.500000,-44.000000,180.000000,top
"D34","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",53.000000,-44.000000,180.000000,top
"D35","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",54.500000,-44.000000,180.000000,top
"D36","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",56.000000,-44.000000,180.000000,top
"D37","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",57.500000,-44.000000,180.000000,top
"D38","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",59.000000,-44.000000,180.000000,top
"D39","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",59.000000,-45.500000,0.000000,top
"D40","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",57.500000,-45.425000,0.000000,top
"D41","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",56.075000,-45.425000,0.000000,top
"D42","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",54.500000,-45.500000,0.000000,top
"D43","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",53.000000,-45.500000,0.000000,top
"D44","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",51.500000,-45.500000,0.000000,top
"D45","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",50.000000,-45.500000,0.000000,top
"D46","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",48.500000,-45.500000,0.000000,top
"D47","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",47.000000,-45.500000,0.000000,top
"D48","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",45.500000,-45.500000,0.000000,top
"D49","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",44.000000,-45.500000,0.000000,top
"D50","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",42.500000,-45.500000,0.000000,top
"D51","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",41.000000,-45.500000,0.000000,top
"D52","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",39.500000,-47.000000,180.000000,top
"D53","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",41.000000,-47.000000,180.000000,top
"D54","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",42.500000,-47.000000,180.000000,top
"D55","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",44.000000,-47.000000,180.000000,top
"D56","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",45.500000,-47.000000,180.000000,top
"D57","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",47.000000,-47.000000,180.000000,top
"D58","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",48.500000,-47.000000,180.000000,top
"D59","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",50.000000,-47.000000,180.000000,top
"D60","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",51.500000,-47.000000,180.000000,top
"D61","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",53.000000,-47.000000,180.000000,top
"D62","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",54.500000,-47.000000,180.000000,top
"D63","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",56.000000,-47.000000,180.000000,top
"D64","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",57.500000,-47.000000,180.000000,top
"D65","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",59.000000,-47.000000,180.000000,top
"D66","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",60.500000,-47.000000,180.000000,top
"D67","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",60.500000,-48.500000,0.000000,top
"D68","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",59.000000,-48.500000,0.000000,top
"D69","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",57.500000,-48.500000,0.000000,top
"D70","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",56.000000,-48.500000,0.000000,top
"D71","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",54.500000,-48.500000,0.000000,top
"D72","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",53.000000,-48.500000,0.000000,top
"D73","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",51.500000,-48.500000,0.000000,top
"D74","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",50.000000,-48.500000,0.000000,top
"D75","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",48.500000,-48.500000,0.000000,top
"D76","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",47.000000,-48.500000,0.000000,top
"D77","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",45.500000,-48.500000,0.000000,top
"D78","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",44.000000,-48.500000,0.000000,top
"D79","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",42.500000,-48.500000,0.000000,top
"D80","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",41.000000,-48.500000,0.000000,top
"D81","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",39.500000,-48.500000,0.000000,top
"D82","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",39.500000,-50.000000,180.000000,top
"D83","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",41.000000,-50.000000,180.000000,top
"D84","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",42.500000,-50.000000,180.000000,top
"D85","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",44.000000,-50.000000,180.000000,top
"D86","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",45.500000,-50.000000,180.000000,top
"D87","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",47.000000,-50.000000,180.000000,top
"D88","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",48.500000,-50.000000,180.000000,top
"D89","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",50.000000,-50.000000,180.000000,top
"D90","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",51.500000,-50.000000,180.000000,top
"D91","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",53.000000,-50.000000,180.000000,top
"D92","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",54.500000,-50.000000,180.000000,top
"D93","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",56.000000,-50.000000,180.000000,top
"D94","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",57.500000,-50.000000,180.000000,top
"D95","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",59.000000,-50.000000,180.000000,top
"D96","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",60.500000,-50.000000,180.000000,top
"D97","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",60.500000,-51.500000,0.000000,top
"D98","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",59.000000,-51.500000,0.000000,top
"D99","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",57.500000,-51.500000,0.000000,top
"D100","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",56.000000,-51.500000,0.000000,top
"D101","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",54.500000,-51.500000,0.000000,top
"D102","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",53.000000,-51.500000,0.000000,top
"D103","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",51.500000,-51.500000,0.000000,top
"D104","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",50.000000,-51.500000,0.000000,top
"D105","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",48.500000,-51.500000,0.000000,top
"D106","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",47.000000,-51.500000,0.000000,top
"D107","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",45.500000,-51.500000,0.000000,top
"D108","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",44.000000,-51.500000,0.000000,top
"D109","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",42.500000,-51.500000,0.000000,top
"D110","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",41.000000,-51.500000,0.000000,top
"D111","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",39.500000,-51.500000,0.000000,top
"D112","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",39.500000,-53.000000,180.000000,top
"D113","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",41.000000,-53.000000,180.000000,top
"D114","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",42.500000,-53.000000,180.000000,top
"D115","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",44.000000,-53.000000,180.000000,top
"D116","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",45.500000,-53.000000,180.000000,top
"D117","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",47.000000,-53.000000,180.000000,top
"D118","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",48.500000,-53.000000,180.000000,top
"D119","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",50.000000,-53.000000,180.000000,top
"D120","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",51.500000,-53.000000,180.000000,top
"D121","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",53.000000,-53.000000,180.000000,top
"D122","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",54.500000,-53.000000,180.000000,top
"D123","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",56.000000,-53.000000,180.000000,top
"D124","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",57.500000,-53.000000,180.000000,top
"D125","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",59.000000,-53.000000,180.000000,top
"D126","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",60.500000,-53.000000,180.000000,top
"D127","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",59.000000,-54.500000,0.000000,top
"D128","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",57.500000,-54.500000,0.000000,top
"D129","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",56.000000,-54.500000,0.000000,top
"D130","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",54.500000,-54.500000,0.000000,top
"D131","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",53.000000,-54.500000,0.000000,top
"D132","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",51.500000,-54.500000,0.000000,top
"D133","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",50.000000,-54.500000,0.000000,top
"D134","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",48.500000,-54.500000,0.000000,top
"D135","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",47.000000,-54.500000,0.000000,top
"D136","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",45.500000,-54.500000,0.000000,top
"D137","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",44.000000,-54.500000,0.000000,top
"D138","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",42.500000,-54.500000,0.000000,top
"D139","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",41.000000,-54.500000,0.000000,top
"D140","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",41.000000,-56.000000,180.000000,top
"D141","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",42.500000,-56.000000,180.000000,top
"D142","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",44.000000,-56.000000,180.000000,top
"D143","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",45.500000,-56.000000,180.000000,top
"D144","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",47.000000,-56.000000,180.000000,top
"D145","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",48.500000,-56.000000,180.000000,top
"D146","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",50.000000,-56.000000,180.000000,top
"D147","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",51.500000,-56.000000,180.000000,top
"D148","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",53.000000,-56.000000,180.000000,top
"D149","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",54.500000,-56.000000,180.000000,top
"D150","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",56.000000,-56.000000,180.000000,top
"D151","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",57.500000,-56.000000,180.000000,top
"D152","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",59.000000,-56.000000,180.000000,top
"D153","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",57.500000,-57.500000,0.000000,top
"D154","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",56.000000,-57.500000,0.000000,top
"D155","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",54.500000,-57.500000,0.000000,top
"D156","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",53.000000,-57.500000,0.000000,top
"D157","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",51.500000,-57.500000,0.000000,top
"D158","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",50.000000,-57.500000,0.000000,top
"D159","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",48.500000,-57.500000,0.000000,top
"D160","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",47.000000,-57.500000,0.000000,top
"D161","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",45.500000,-57.500000,0.000000,top
"D162","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",44.000000,-57.500000,0.000000,top
"D163","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",42.500000,-57.500000,0.000000,top
"D164","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",44.000000,-59.000000,180.000000,top
"D165","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",45.500000,-59.000000,180.000000,top
"D166","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",47.000000,-59.000000,180.000000,top
"D167","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",48.500000,-59.025000,180.000000,top
"D168","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",50.000000,-59.000000,180.000000,top
"D169","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",51.500000,-59.000000,180.000000,top
"D170","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",53.000000,-59.000000,180.000000,top
"D171","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",54.500000,-59.000000,180.000000,top
"D172","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",56.000000,-59.000000,180.000000,top
"D173","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",53.000000,-60.500000,0.000000,top
"D174","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",51.500000,-60.500000,0.000000,top
"D175","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",50.000000,-60.500000,0.000000,top
"D176","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",48.500000,-60.500000,0.000000,top
"D177","XL-1010RGBC-WS2812B","XINGLIGHT-XL-1010RGBC",47.000000,-60.500000,0.000000,top
